Date,Close
9/18/2018,51.04
9/19/2018,51.8
9/20/2018,52.16
9/21/2018,51.76
9/24/2018,51.03
9/25/2018,50.74
9/26/2018,49.97
9/27/2018,49.94
9/28/2018,50.23
10/1/2018,50.25
10/2/2018,50.1
10/3/2018,50.15
10/4/2018,50.35
10/5/2018,49.93
10/8/2018,50.88
10/9/2018,50.72
10/10/2018,49.21
10/11/2018,47.24
10/12/2018,46.8
10/15/2018,46.84
10/16/2018,47.06
10/17/2018,47.32
10/18/2018,46.75
10/19/2018,47
10/22/2018,46.57
10/23/2018,46.18
10/24/2018,44.83
10/25/2018,45.75
10/26/2018,45.2
10/29/2018,45.3
10/30/2018,46.12
10/31/2018,46.56
11/1/2018,47.16
11/2/2018,46.29
11/5/2018,48.8
11/6/2018,49.51
11/7/2018,49.74
11/8/2018,49.44
11/9/2018,49.59
11/12/2018,48.77
11/13/2018,48.65
11/14/2018,47.49
11/15/2018,48.15
11/16/2018,48.5
11/19/2018,48.45
11/20/2018,47.43
11/21/2018,47.3
11/23/2018,46.97
11/26/2018,48.06
11/27/2018,47.55
11/28/2018,48.73
11/29/2018,47.98
11/30/2018,48.06
12/3/2018,48.5
12/4/2018,46.97
12/6/2018,46.92
12/7/2018,45.78
12/10/2018,45.14
12/11/2018,44.86
12/12/2018,45.09
12/13/2018,45.51
12/14/2018,45.07
12/17/2018,45.01
12/18/2018,45.06
12/19/2018,44.88
12/20/2018,44.65
12/21/2018,43.87
12/24/2018,42.54
12/26/2018,44.46
12/27/2018,44.97
12/28/2018,44.91
12/31/2018,45.52
1/2/2019,45.08
1/3/2019,44.52
1/4/2019,45.65
1/7/2019,45.96
1/8/2019,45.85
1/9/2019,46.05
1/10/2019,46.39
1/11/2019,46.58
1/14/2019,46.65
1/15/2019,46.65
1/16/2019,46.68
1/17/2019,46.8
1/18/2019,47.53
1/22/2019,46.94
1/23/2019,47.26
1/24/2019,47.42
1/25/2019,47.79
1/28/2019,47.65
1/29/2019,47.73
1/30/2019,48.11
1/31/2019,47.9
2/1/2019,48.05
2/4/2019,48.01
2/5/2019,48.08
2/6/2019,48.02
2/7/2019,47.84
2/8/2019,47.47
2/11/2019,44.56
2/12/2019,45.92
2/13/2019,46.77
2/14/2019,45.88
2/15/2019,46.7
2/19/2019,47.06
2/20/2019,47.44
2/21/2019,47.53
2/22/2019,47.79
2/25/2019,47.98
2/26/2019,47.58
2/27/2019,47.57
2/28/2019,47.62
3/1/2019,47.9
3/4/2019,48.11
3/5/2019,47.93
3/6/2019,47.44
3/7/2019,46.82
3/8/2019,46.88
3/11/2019,47.2
3/12/2019,47.59
3/13/2019,47.71
3/14/2019,47.89
3/15/2019,47.78
3/18/2019,48.41
3/19/2019,48.04
3/20/2019,47.51
3/21/2019,47.93
3/22/2019,47.33
3/25/2019,47.1
3/26/2019,47.57
3/27/2019,47.73
3/28/2019,47.86
3/29/2019,47.93
4/1/2019,48.68
4/2/2019,48.19
4/3/2019,48.2
4/4/2019,48.49
4/5/2019,48.6
4/8/2019,48.59
4/9/2019,48.34
4/10/2019,48.68
4/11/2019,49.1
4/12/2019,49.28
4/15/2019,49.17
4/16/2019,49.66
4/17/2019,49.24
4/18/2019,48.82
4/22/2019,49.22
4/23/2019,49.44
4/24/2019,49.49
4/25/2019,49.68
4/26/2019,50.18
4/29/2019,50.93
4/30/2019,51.29
5/1/2019,50.3
5/2/2019,50.24
5/3/2019,50.84
5/6/2019,50.79
5/7/2019,50.16
5/8/2019,50.41
5/9/2019,50.53
5/10/2019,51.37
5/13/2019,50.17
5/14/2019,50.97
5/15/2019,51.22
5/16/2019,51.92
5/17/2019,51.78
5/20/2019,51.94
5/21/2019,52.5
5/22/2019,52.42
5/23/2019,51.87
5/24/2019,52.22
5/28/2019,51.31
5/29/2019,51.25
5/30/2019,51.33
5/31/2019,51.36
6/3/2019,52.27
6/4/2019,52.94
6/5/2019,53.44
6/6/2019,53.7
6/7/2019,53.84
6/10/2019,54.03
6/11/2019,53.59
6/12/2019,53.3
6/13/2019,53.37
6/14/2019,53.54
6/17/2019,52.94
6/18/2019,53.39
6/19/2019,53.62
6/20/2019,54.06
6/21/2019,54.07
6/24/2019,54.15
6/25/2019,54.55
6/26/2019,53.43
6/27/2019,53.77
6/28/2019,54.67
7/1/2019,55.6
7/2/2019,55.24
7/3/2019,56.16
7/5/2019,55.69
7/8/2019,55.66
7/9/2019,55.49
7/10/2019,55.55
7/11/2019,55.3
7/12/2019,55.38
7/15/2019,55.18
7/16/2019,54.8
7/17/2019,54.14
7/18/2019,54.35
7/19/2019,53.84
7/22/2019,53.95
7/23/2019,54.02
7/24/2019,54.74
7/25/2019,54.77
7/26/2019,54.84
7/29/2019,53.91
7/30/2019,53.67
7/31/2019,53.54
8/1/2019,52.87
8/2/2019,52.51
8/5/2019,50.72
8/6/2019,51.55
8/7/2019,50.6
8/8/2019,51.66
8/9/2019,50.97
8/12/2019,50.11
8/13/2019,50.43
8/14/2019,48.14
8/15/2019,48.43
8/16/2019,48.85
8/19/2019,49.19
8/20/2019,48.68
8/21/2019,48.84
8/22/2019,48.62
8/23/2019,47.24
8/26/2019,47.95
8/27/2019,47.45
8/28/2019,47.7
8/29/2019,48.08
8/30/2019,48.07
9/3/2019,47.98
9/4/2019,48.65
9/5/2019,48.96
9/6/2019,49.28
9/9/2019,49.61
9/10/2019,49.91
9/11/2019,50.03
9/12/2019,50.39
9/13/2019,50.8
9/16/2019,51.01
9/17/2019,51.37
9/18/2019,51.28
9/19/2019,51.05
9/20/2019,50.97
9/23/2019,51.58
9/24/2019,51.65
9/25/2019,51.02
9/26/2019,51.15
9/27/2019,51.51
9/30/2019,51.48
10/1/2019,50.12
10/2/2019,48.87
10/3/2019,49.17
10/4/2019,49.99
10/7/2019,49.58
10/8/2019,48.69
10/9/2019,49.1
10/10/2019,49.54
10/11/2019,50.48
10/14/2019,50.41
10/15/2019,51.07
10/16/2019,50.95
10/17/2019,50.85
10/18/2019,50.96
10/21/2019,51.46
10/22/2019,50.89
10/23/2019,51.1
10/24/2019,50.84
10/25/2019,51
10/28/2019,49.42
10/29/2019,49.39
10/30/2019,49.2
10/31/2019,49
11/1/2019,49.79
11/4/2019,49.8
11/5/2019,50.49
11/6/2019,50.87
11/7/2019,51.03
11/8/2019,51
11/11/2019,50.52
11/12/2019,50.65
11/13/2019,50.36
11/14/2019,50.09
11/15/2019,50.16
11/18/2019,50.27
11/19/2019,50.18
11/20/2019,50.35
11/21/2019,50.45
11/22/2019,50.65
11/25/2019,50.8
11/26/2019,50.55
11/27/2019,51.02
11/29/2019,50.9
12/2/2019,50.17
12/3/2019,48.5
12/4/2019,48.88
12/5/2019,49.15
12/6/2019,50.16
12/9/2019,50.33
12/10/2019,50.07
12/11/2019,49.99
12/12/2019,51.09
12/13/2019,50.61
12/16/2019,51.07
12/17/2019,51.4
12/18/2019,51.32
12/19/2019,51.17
12/20/2019,51.66
12/23/2019,51.4
12/24/2019,51.45
12/26/2019,51.94
12/27/2019,51.89
12/30/2019,52.01
